id,rating_author,rating_date,tweet_id,tweet_author,is_spam,topic,shares_author,rhetoric,uses_method,uses_data,uses_conclusions
60,mfenner,12/20/11,130760381336530945,dorianyoung78,,,false,discusses,false,false,false
61,mfenner,12/20/11,130744065540100096,tatianaochoahip,,,false,discusses,false,false,false
62,mfenner,01/05/12,124565705420058624,dragonsmedical,false,Medicine &amp; Health,false,discusses,false,false,true
63,mfenner,01/05/12,126694928540647424,TheSpiderMind,false,Social Sciences &amp; Economics,false,discusses,false,false,true
64,mfenner,01/05/12,130688098848882688,DN_P,false,Medicine &amp; Health,false,discusses,false,false,false
65,mfenner,12/20/11,130636211625787392,RefractiveIndex,,,false,discusses,false,false,true
66,mfenner,12/20/11,130157170925899776,renelaennec,,,false,discusses,false,false,true
67,mfenner,01/05/12,127425603623325696,lfpalmer,false,Medicine &amp; Health,false,discusses,true,false,false
68,mfenner,01/05/12,127408763056553984,politixgirl,false,Life Sciences,false,discusses,false,false,true
69,mfenner,01/05/12,124204505544916992,richardabetts,false,Other,false,discusses,false,false,false
70,mfenner,12/20/11,120803633519534080,grasscraig,,,false,discusses,false,false,false
71,mfenner,01/05/12,127767916333641728,pascalmeier74,false,Medicine &amp; Health,false,discusses,false,false,false
72,mfenner,01/05/12,124997984978092033,why_we_do_that,false,Medicine &amp; Health,false,discusses,true,false,false
73,mfenner,01/05/12,121633960089489408,rblumel,false,Physics &amp; Astronomy,false,agreesWith,false,false,true
74,mfenner,01/05/12,121923491221082112,razz0r,false,Computer Science &amp; Math,false,discusses,false,false,false
75,mfenner,12/20/11,127305188183785472,calmedoc,,,false,discusses,false,false,true
76,mfenner,01/05/12,124390343763427329,PPO_journal_lww,false,Medicine &amp; Health,true,discusses,false,false,false
77,mfenner,12/20/11,119910644878278657,juancivancevich,,,false,discusses,false,false,false
78,mfenner,01/05/12,127072524742828032,divhealthpsych,false,Medicine &amp; Health,false,discusses,false,true,false
79,mfenner,12/20/11,124288156630659072,kerikimler,,,false,discusses,false,false,false
80,Stew,01/01/12,130772710832869378,nanoluis_bastos,false,,false,agreesWith,false,false,false
81,Stew,12/20/11,130760381336530945,dorianyoung78,,,false,discusses,false,false,false
82,Stew,12/20/11,130744065540100096,tatianaochoahip,,,false,discusses,false,false,false
83,Stew,12/20/11,130740017218854912,Chris_Evelo,,,false,discusses,false,false,false
84,Stew,12/20/11,130704510334148608,SternStewart_Co,,,false,discusses,false,false,false
85,Stew,12/20/11,124647924012564480,kookyideas,,,false,discusses,false,false,false
86,Stew,12/20/11,121549611209986048,vegfrssfeeds,,,false,discusses,false,false,false
87,Stew,12/20/11,126227856408850432,ahenotri,,,false,discusses,false,false,false
88,Stew,12/20/11,126012130481799169,CardiologiaF,,,false,discusses,false,false,false
89,Stew,12/20/11,121669385873145856,mcs_america,,,false,discusses,false,false,false
90,mfenner,01/05/12,121067947010686976,vincentr,false,Social Sciences &amp; Economics,false,agreesWith,false,false,false
91,mfenner,01/05/12,120996646392832000,pregnancyissues,false,Medicine &amp; Health,false,discusses,false,false,false
92,Stew,12/20/11,124551051222327296,Montagist,,,false,discusses,false,true,false
93,Stew,12/20/11,124504469403734016,pranagirl,,,false,discusses,false,false,false
94,Stew,12/20/11,120186056187457537,advantagephysio,,,false,discusses,false,false,false
95,Stew,12/20/11,128937495944626176,CEP_Rachel,,,false,agreesWith,false,false,true
96,Stew,12/20/11,124219177748791297,JONAonline,,,false,discusses,false,false,false
97,Stew,12/20/11,130677527873204224,andypsumner,,,false,discusses,false,false,false
98,Stew,12/20/11,130427699943579648,ConserveWords,,,false,agreesWith,true,false,false
99,Stew,12/20/11,130370000597946368,dfjpt,,,false,agreesWith,false,true,false
100,Stew,12/20/11,130157170925899776,renelaennec,,,false,agreesWith,false,false,true
101,mfenner,01/05/12,130663518562291712,RogerDJones1,false,Medicine &amp; Health,false,discusses,false,false,false
102,mfenner,01/05/12,130506895852191744,ScientistSaba,false,Life Sciences,false,discusses,false,false,false
103,mfenner,01/05/12,130127354633785344,wintjc,false,Medicine &amp; Health,false,discusses,true,false,false
104,mfenner,01/05/12,130095101895647233,BilliePerry,false,Earth Sciences,false,discusses,false,false,true
105,mfenner,01/05/12,130052081972293633,SlopeyPen,false,Earth Sciences,false,discusses,false,false,false
106,mfenner,01/05/12,124580479314829312,jjriosblanco,false,Medicine &amp; Health,false,discusses,false,false,false
107,mfenner,01/05/12,128852195381751808,mjpallen,false,Medicine &amp; Health,false,discusses,false,false,false
108,mfenner,01/05/12,120933285873463297,sophs37,false,Medicine &amp; Health,false,discusses,false,false,false
109,mfenner,12/20/11,123786429343072256,topinscience,,,false,discusses,false,false,false
110,mfenner,01/05/12,126939166700339200,CAT_DOG_EGG,false,Life Sciences,false,discusses,false,false,false
111,mfenner,12/20/11,121549611209986048,vegfrssfeeds,,,false,discusses,false,false,true
112,mfenner,01/05/12,129906522368131072,SPHEREproject,false,Medicine &amp; Health,false,discusses,false,false,true
113,mfenner,01/05/12,129995133637763072,OliCorkhill,false,Medicine &amp; Health,false,discusses,false,false,true
114,mfenner,12/20/11,128792706800558080,fermin771009,,,false,discusses,false,false,false
115,mfenner,01/05/12,128990996317999105,JohnMakotoM,false,Life Sciences,false,discusses,false,false,true
116,mfenner,01/05/12,124408034792452096,JCPjrnl_online,false,Medicine &amp; Health,false,discusses,false,true,false
117,mfenner,12/20/11,124167772258320384,rogerdjones1,,,false,discusses,false,false,false
118,mfenner,01/05/12,126756321390366720,JAMA_current,false,Medicine &amp; Health,true,discusses,false,false,true
119,mfenner,01/05/12,124139803892658176,peter_tennant,false,Medicine &amp; Health,false,discusses,false,false,true
120,mfenner,01/05/12,130243783869739008,EmeraldMkting,false,Social Sciences &amp; Economics,false,discusses,false,false,false
121,mfenner,01/05/12,130156413069692930,SpywareLady,false,Social Sciences &amp; Economics,false,discusses,false,false,false
122,mfenner,01/05/12,126403909605527552,XYMOGEN,false,Medicine &amp; Health,false,discusses,false,false,true
